Title,Title_link,Thumbnail,propertyCard-moreInfoNumber,aria-announcer,propertyCard-secondaryPriceValue,propertyCard-img1,propertyCard-img2,propertyCard-address,property-information,propertyCard-link,propertyCard-branchSummary,propertyCard-branchLogo-image,propertyCard-contactsPhoneNumber,property-information1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133842155#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/22k/21470/133842155/21470_DWR002FC2_IMG_00_0000_max_476x317.jpeg,1/10,,£369 pw,,,"St German's Road, Forest Hill, London, SE23",Apartment,A two double bedroom first floor apartment to rent in St. German's Road with large communal garden.,"Added on 19/04/2023 by Pedder, Forest Hill",,020 3892 9573,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133841237#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/203k/202865/133841237/202865_103356001537_IMG_00_0000_max_476x317.jpeg,1/16,,£381 pw,,,"Chingford Avenue, London",Ground Maisonette,"This delightful 2 bedroom ground floor marionette with a large private garden and off street parking has just been redecorated throughout offering fantastic sized accommodation. There is a lounge, modern kitchen/bathroom and and 2 large bedrooms.","Added on 19/04/2023 by William Rose, Woodford",,020 3840 3623,1
"£1,500 pcm",https://www.rightmove.co.uk/properties/133413209#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/250k/249770/133413209/249770_32243084_IMG_00_0000_max_476x317.jpeg,1/6,,£346 pw,,,"Friern Park, Friern Park",Flat,"A two double bedroom first floor flat, set within a well maintained purpose built block. Further features include in built storage space and a separate kitchen","Reduced on 19/04/2023 by Penny & Lisa, Finchley",,020 8343 0048,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/83859110#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191252/83859110/191252_PRI190175_L_IMG_08_0001_max_476x317.jpeg,1/8,,£369 pw,,,"Sunningfields Road, London, NW4",Penthouse,This quirky 2-bedroom penthouse flat with dual aspect views is in the midst of it all! Found tucked down the quiet Sunningfields Road in the heart of Hendon and has gone through a back to brick refurb. This 2-bedroom flat is found on the top floor of an exposed brick building on a tree lined resi...,"Added on 19/04/2023 by Property Inc, Harringay",,020 3907 9804,1
,,,,,,,,,,,,,,
"£1,650 pcm",https://www.rightmove.co.uk/properties/133531532#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_00_0000_max_476x317.jpeg,1/11,Property image 1 of 11,£381 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_10_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63765/133531532/63765_5206185_IMG_01_0000_max_476x317.jpeg,"Thyme Close, London SE3",Flat,"Extremely Spacious Two Bedroom Two Bathroom Apartment Very Close to Kidbrooke Station. Thyme Close SE3. This modern apartment has wooden flooring throughout and is presented immaculately! Large reception room, two double bedrooms, large family bathroom, en suite shower room and a fitted kitchen....","Reduced yesterday by ludlowthompson, Canada Water",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_1674_0003_max_100x50.jpeg,020 3906 2172,2
£797 pcm,https://www.rightmove.co.uk/properties/133837406#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58989/133837406/58989_58989_IRE155321_IMG_00_0000_max_476x317.png,1,,£184 pw,,,"Jenningsbury House, Cale Street , Chelsea, SW3 3SH",Flat,"2 Bedroom, Third Floor Flat to Rent in Chelsea. Over 55's Only","Added on 19/04/2023 by Clarion Housing (Lettings), UK",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_13632_0001_max_100x50.jpeg,020 3370 7544,1
"£1,350 pcm",https://www.rightmove.co.uk/properties/68766737#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173780/68766737/173780_70aTooting2Bed_IMG_00_0001_max_476x317.jpeg,1/9,Property image 1 of 9,£312 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173780/68766737/173780_70aTooting2Bed_IMG_02_0001_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173780/68766737/173780_70aTooting2Bed_IMG_01_0001_max_476x317.jpeg,"Tooting High Street, London, SW17",Flat,"Two bedroom flat is becoming available in mid May. The property is located seconds away from Tooting Broadway Station and by the main high street, on Gilbey Road. Fully furnished and ideal for professional sharers, couples or St Georges Medical students.","Added on 19/04/2023 by Great Newport Lettings, London",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_54116_0001_max_100x50.jpeg,07903 676298,1
,,,,,,,,,,,,,,
"£1,733 pcm",https://www.rightmove.co.uk/properties/133836734#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152984/133836734/152984_LYON2_000100_IMG_00_0000_max_476x317.jpeg,1/11,,£400 pw,,,"Harold Road, London, E11",Apartment,A gorgeous bright two double-bedroom apartment located in central Leytonstone.,"Added on 19/04/2023 by Lyons London, Hackney",,020 3910 6041,1
"£1,655 pcm",https://www.rightmove.co.uk/properties/131209880#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214244/131209880/214244_37280137010_IMG_00_0000_max_476x317.jpeg,1/3,,£382 pw,,,"Grange Road, London, SE1",Flat,"2 bedroom, self contained flat, with door entry system and balcony. Near all amenities","Added on 19/04/2023 by The Hyde Group, The Hyde Group - Sussex",,01243 210317,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133834202#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109898/133834202/109898_32265457_IMG_00_0000_max_476x317.jpeg,1/7,,£369 pw,,,"Devonshire Road, Palmers Green, London",Flat,"Applicant Requirements: We are searching for tenant(s) with a household income of £48,000 + - Baker and Chase are delighted to present this lovely 2 double bedroom converted flat located in the heart of Palmers Green. Situated on the first floor, this property ...","Added on 19/04/2023 by Baker and Chase, London Borough of Enfield",,020 3910 6504,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133833653#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133833653/96668_168392219042023_IMG_00_0000_max_476x317.jpeg,1/18,,£404 pw,,,"Lawn Terrace, London, SE3",Maisonette,"2 Bed Maisonette, Lawn Terrace, SE3 We are proud to offer this delightful 2 bedroom, 1 bathroom maisonette in a great location. Available to move in from 12 May 2023, this property benefits from... ** Property Reference: 1683922 **","Added on 19/04/2023 by OpenRent, London",,020 3322 3265,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/132968915#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156986/132968915/156986_ARD230324_IMG_00_0000_max_476x317.jpeg,1/5,,£369 pw,,,"Ardley Close, SE6",Flat,"Spacious flat located in a quiet cul-the-sac within walking distance of Sydenham Station, providing easy access to London Bridge, Central London, Waterloo and Charing Cross.","Reduced on 19/04/2023 by Home-Made UK Properties Limited, London",,01202 145329,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133297106#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40107/133297106/40107_CWL220494_L_IMG_00_0000_max_476x317.jpeg,1/6,,£392 pw,,,"Barking Road, London, E16",Apartment,Have a look at this recently redecordated 2 bedroom property in E16. The bathroom has been refrubished and the property will also be fully repainted. Positioned conveniently on Barking Road high street you have the shops on your doorstep and local hospitalo nearby - making this a perfect option f...,"Reduced on 19/04/2023 by Atkinson McLeod, Canary Wharf - Lettings",,020 3834 7894,1
,,,,,,,,,,,,,,
"£1,750 pcm",https://www.rightmove.co.uk/properties/133573142#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47285/133573142/47285_000749070_IMG_00_0000_max_476x317.jpeg,1/8,,£404 pw,,,"Randall Place, Greenwich, London, SE10",Flat,"Comprising two floors, this property boasts three bedrooms, tiled fully fitted kitchen and large windows to the bright and spacious dining and reception area.","Reduced on 19/04/2023 by John D Wood & Co, Docklands & City, Docklands & City",,020 3917 4889,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133827227#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69089/133827227/69089_32264986_IMG_00_0000_max_476x317.jpeg,1/6,,£369 pw,,,"Mitcham Lane, London",Apartment,"Bright two bedroom purpose built flat situated close to the multiple bus routes and shopping facilities of Streatham High Road. Benefits include spacious lounge, gas central heating, seperate kitchen and large master bedroom. Vacant possession.","Added on 19/04/2023 by James Alexander Lettings & Management, Norbury",,020 3835 3296,1
"£1,695 pcm",https://www.rightmove.co.uk/properties/133825880#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221711/133825880/221711_1332_EAF_110830_IMG_00_0000_max_476x317.jpeg,1/13,,£391 pw,,,"Barrow Road, SW16, London",Apartment,"Charming 2 Double Bedroom Flat with Private Balcony in Streatham, SW16","Added on 19/04/2023 by Hello Neighbour, London",,020 3909 7829,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/132676682#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51234/132676682/51234_000684060_IMG_01_0000_max_476x317.jpeg,1/11,,£392 pw,,,"Lullingstone Lane, Hither Green, SE13",House,** ZERO DEPOSIT OPTION ** FANTASTIC TWO DOUBLE BEDROOM HOUSE WITH DRIVEWAY PARKING AND REAR GARDEN IN HITHER GREEN SE13 AVAILABLE NOW,"Reduced on 19/04/2023 by Mann Lettings, Lewisham",,020 3907 3506,2
"£1,650 pcm",https://www.rightmove.co.uk/properties/133134569#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51234/133134569/51234_000309813_IMG_00_0000_max_476x317.jpeg,1/10,,£381 pw,,,"Old Road, Hither Green, SE13",Flat,"** ZERO DEPOSIT OPTION ** TWO BEDROOM FIRST FLOOR CONVERSION, WITHIN WALKING DISTANCE TO BLACKHEATH AND LEE AVAILABLE APRIL","Reduced on 19/04/2023 by Mann Lettings, Lewisham",,020 3907 3506,1
"£1,668 pcm",https://www.rightmove.co.uk/properties/133820801#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43502/133820801/43502_32264587_IMG_00_0000_max_476x317.jpeg,1/10,,£385 pw,,,"Downhurst Court, Parson Street, Hendon",Apartment,"Spacious Two Bedroom, Large Reception, Modern Kitchen & Bathroom, Second Floor Flat in Purpose Built Block with a Lift, Furnished. garage for storage only, Available 26th April 2023.","Added on 19/04/2023 by Jayson Russell, Hendon",,020 3910 6512,1
,,,,,,,,,,,,,,
"£1,582 pcm",https://www.rightmove.co.uk/properties/133820471#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43502/133820471/43502_32264562_IMG_00_0000_max_476x317.jpeg,1/6,,£365 pw,,,"Sunny Gardens Road, Hendon",Apartment,"Good size 2bed apartment on Sunny Gardens Road - Hendon. Comprising of 2 large double bedrooms, separate living room, with access to the communal garden, modern kitchen & bathroom with bathtub. Parking via permits & offered part furnished. Available from 29th May 2023.","Added on 19/04/2023 by Jayson Russell, Hendon",,020 3910 6512,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133819322#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69659/133819322/69659_SJL160014_L_IMG_00_0000_max_476x317.jpeg,1/8,,£404 pw,,,"Rosemary Gardens, 
East Sheen, SW14",Flat,Single occupancy or couples only. A really well finished two bedroom flat in beautiful Rosemary Gardens. The flat has been meticulously finished throughout by its current owner and would be ideal for a couple or single professional.,"Added on 19/04/2023 by Chestertons Estate Agents, Sheen Lettings",,020 3872 5255,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133816955#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10141/133816955/10141_32264357_IMG_00_0000_max_476x317.jpeg,1/18,,£392 pw,,,"Fairmead Court Forest Avenue, Chingford, E4",Flat,"** REGISTER FOR VIEWING DAY SATURDAY THE 22ND APRIL 11.00 AM to 2.00 PM ** Churchill Estates are delighted to offer this superbly maintained and completely refurbished 2 bedroom apartment situated in a popular development of Forest Avenue, the apartment is front facing with glorious forest facing...","Added on 19/04/2023 by Churchill Estates, North Chingford",,020 3856 4261,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133816082#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87812/133816082/87812_1234822_IMG_02_0000_max_476x317.jpeg,1/7,,£369 pw,,,"Addison Way, Barnet, London, NW11",Flat,"LONG LET. A stunning 2 bedroom 1st floor flat boasting bright and modern accommodation throughout, a private garden garden and an excellent Hampstead Garden Suburb location.","Added on 19/04/2023 by Foxtons, Temple Fortune",,020 3909 9806,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133816037#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133816037/96668_168251818042023_IMG_00_0000_max_476x317.jpeg,1/15,,£392 pw,,,"Churchill Court, London, SE18",Flat,"We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location. Available to move in from 18 April 2023, this property benefits from available parking, and garden access. Pr... ** Property Reference: 1682518 **","Added on 19/04/2023 by OpenRent, London",,020 3322 3265,2
"£1,450 pcm",https://www.rightmove.co.uk/properties/133814171#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115756/133814171/115756_32264155_IMG_00_0000_max_476x317.jpeg,1/8,,£335 pw,,,"Mandeville Court, Chingford, E4",Apartment,"Two Bedroom flat situated on the second floor in this peaceful modern development. Added benefits from a living room, a fitted kitchen & bathroom, double glazing, electric heating and brand new laminating flooring. The development has well maintained communal gardens along with communal parki...","Added on 19/04/2023 by Coultons, North Chingford",,020 3910 6249,1
"£1,500 pcm",https://www.rightmove.co.uk/properties/133564826#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74383/133564826/74383_000340632_IMG_02_0000_max_476x317.jpeg,1/10,,£346 pw,,,"Woolwich, SE18",Apartment,FULL OF PERIOD CHARM AND CLOSE TO WOOLWICH TOWN CENTRE. SPACIOUS TWO BED GARDEN FLAT WITH EXCELLENT TRANSPORT LINKS TO CENTRAL LONDON.,"Reduced on 19/04/2023 by Mann Lettings, Woolwich",,020 3869 5382,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133809005#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12692/133809005/12692_PTL210021_L_IMG_00_0000_max_476x317.jpeg,1/18,,£404 pw,,,"Burston Road, Putney, SW15",Apartment,'An alternative deposit option is available' This bright and spacious period conversion is filled with a wealth of character and charm throughout and is ideally positioned just moments to Putney High Street and Putney Train Station. East Putney Tube Station is also less than half a mile away...,"Added on 19/04/2023 by Stirling Ackroyd Lettings, Putney - Lettings",,020 3873 1624,1
"£1,700 pcm",https://www.rightmove.co.uk/properties/133808819#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85706/133808819/85706_P213573_IMG_00_0000_max_476x317.jpeg,1/6,,£392 pw,,,Thicket Road London SE20,Apartment,"A lovely two double bedroom, top floor period conversion on the highly sought after Thickett Road. Just minutes away from Crystal Palace Park and close amenities. Available to move in ASAP.","Added on 19/04/2023 by Kinleigh Folkard & Hayward - Lettings, Crystal Palace",,020 3869 5929,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133807508#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52863/133807508/52863_AXQA9_IMG_00_0000_max_476x317.jpeg,1/9,,£381 pw,,,"Kingston Road, SW20: 2 bed 1 rec 1 bath unfurn",Flat,Large split level 2 bed flat in popular Apostles area of Raynes Park.,"Added on 19/04/2023 by Moss and Co Ltd, London",,020 8946 7661,1
,,,,,,,,,,,,,,
"£1,750 pcm",https://www.rightmove.co.uk/properties/133476962#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64511/133476962/64511_HEATH_000378_IMG_00_0000_max_476x317.jpeg,1/12,Property image 1 of 12 showing Photo 3,£404 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64511/133476962/64511_HEATH_000378_IMG_11_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64511/133476962/64511_HEATH_000378_IMG_01_0000_max_476x317.jpeg,"Viewpoint, Lee Park, Blackheath, SE3",Apartment,"A delightful 2 double bedroom purpose-built apartment located in heart of Blackheath Village, a few minutes’ walk away from BR station and the open Heath. In good order throughout accommodation consist of a good size lounge/diner open plan to modern fitted kitchen with appliances, 2 double ...","Added on 11/04/2023 by Heath Estates, Blackheath",https://media.rightmove.co.uk:443/dir/company/clogo_25304_0000_max_100x50.jpg,020 3866 6850,1
"£1,600 pcm",https://www.rightmove.co.uk/properties/133805477#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47472/133805477/47472_live/1996_IMG_00_0000_max_476x317.jpeg,1/10,Property image 1 of 10 showing 1.JPG,£369 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47472/133805477/47472_live/1996_IMG_03_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47472/133805477/47472_live/1996_IMG_02_0000_max_476x317.jpeg,"Glenhill Close (MS029), Finchley, N3",Flat,"A two-bedroom flat in a private estate in a distinct convenient location, in Finchley.","Added on 19/04/2023 by Hamways, London",https://media.rightmove.co.uk:443/dir/48k/47472/branch_rmchoice_logo_47472_0000_max_100x50.jpeg,020 3889 9157,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133800746#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133800746/96668_168333818042023_IMG_00_0000_max_476x317.jpeg,1/9,Property image 1 of 9,£404 pw,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133800746/96668_168333818042023_IMG_02_0000_max_476x317.jpeg,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133800746/96668_168333818042023_IMG_01_0000_max_476x317.jpeg,"Umfreville Road, London, N4",Flat,"2 Bed Flat, Umfreville Road, N4 We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 23 April 2023, this property benefits from availab... ** Property Reference: 1683338 **","Added on 19/04/2023 by OpenRent, London",https://media.rightmove.co.uk:443/dir/company/clogo_rmchoice_37106_0000_max_100x50.png,020 3322 3265,1
,,,,,,,,,,,,,,
"£1,700 pcm",https://www.rightmove.co.uk/properties/133735535#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133735535/96668_166822131032023_IMG_00_0000_max_476x317.jpeg,1/19,,£392 pw,,,"Churchbury Road, London, SE9",Flat,"An impressive 3 bedroom maisonette with it's own private driveway and garden, in a quiet residential street is available from 1st June 2023. Ideal for a family or young professionals that either... ** Property Reference: 1668221 **","Reduced on 18/04/2023 by OpenRent, London",,020 3322 3265,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133791368#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100426/133791368/100426_1235740_IMG_00_0000_max_476x317.jpeg,1/9,,£404 pw,,,"Portland Road, South Norwood, London, SE25",Flat,"ZERO DEPOSIT AVAILABLE. LONG LET. Located close to the amenities in South Norwood, this fantastic 2 bedroom flat is spaciously arranged over 3 floors and benefits from a generous living room, open-plan kitchen and large bathroom.","Reduced on 18/04/2023 by Foxtons, Crystal Palace",,020 3840 3918,1
"£1,400 pcm",https://www.rightmove.co.uk/properties/133791362#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130309/133791362/130309_1236249_IMG_01_0000_max_476x317.jpeg,1/3,,£323 pw,,,"Selhurst Road, Selhurst, London, SE25",Flat,"ZERO DEPOSIT AVAILABLE. LONG LET. Located moments from Selhurst station, this fantastic 2 bedroom lower ground floor flat has recently been re-decorated to an excellent standard and boasts a large reception room with access to a private garden.","Added on 18/04/2023 by Foxtons, Croydon",,020 3834 8630,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133790345#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/133790345/96668_150662026092022_IMG_00_0000_max_476x317.jpeg,1/8,,£404 pw,,,"Benhurst Court, London, SW16",Flat,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 18 April 2023, this property benefits from available parking, and garden access. Pr... ** Property Reference: 1506620 **","Reduced on 18/04/2023 by OpenRent, London",,020 3322 3265,1
"£1,650 pcm",https://www.rightmove.co.uk/properties/133788218#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25176/133788218/25176_474_IMG_00_0000_max_476x317.jpeg,1/6,,£381 pw,,,"Rosewater House, Palmers Green",Flat,"P M Estates are pleased to offer this stunning newly constructed 2 double bed F/F flat situated on this desirable turning within the sought after St. Monica's School catchment area & just 1 min walk of Green Lanes vast shopping facilities, amenities","Added on 18/04/2023 by Peter Michael Estates & Lettings, London",,020 3866 6721,1
"£1,750 pcm",https://www.rightmove.co.uk/properties/133787831#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49201/133787831/49201_643eab009bf82_IMG_00_0000_max_476x317.jpeg,1/8,,£404 pw,,,"Lambert Road , Brixton",Flat,A well-presented TWO DOUBLE bedroom FIRST FLOOR Victoria conversation on Lambert Road.,"Added on 18/04/2023 by Brooks Estate Agents, Streatham",,020 3840 3866,1
,,,,,,,,,,,,,,
"£1,625 pcm",https://www.rightmove.co.uk/properties/77370600#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23060/77370600/23060_CRP170475_L_IMG_01_0000_max_476x317.jpg,1/6,,£375 pw,,,"Cintra House, 9 Beulah Hill, London, SE19",Apartment,"2 bedroom conversion flat on the raised GROUND FLOOR and comprising of fully fitted OPEN PLAN kitchen with DISHWASHER, bathroom with shower and 2 DOUBLE bedrooms. Offered to the market PART FURNISHED. CALL NOW TO VIEW, DONT MISS OUT!","Added on 18/04/2023 by Streets Ahead, Crystal Palace",,020 3835 4161,1
"£1,699 pcm",https://www.rightmove.co.uk/properties/133784822#/?channel=RES_LET,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79883/133784822/79883_3067_IMG_00_0000_max_476x317.jpeg,1/4,,£392 pw,,,"Finchley Road, Hampstead NW3",Flat,"This well-located 2 bedroom 2 bathroom flat on Finchley Road NW3 offers a comfortable and convenient living experience within easy reach of Central London. The open plan kitchen creates a modern living area, perfect for entertaining guests or relaxing after a long day.","Added on 18/04/2023 by Cedar Estates, West Hampstead",,020 3869 5379,2
